,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Rape+Kidnap,Urban,Population,crimes/population
6592,WEST BENGAL,KOLKATA,2009,2.8187919463087247e-06,7.181208053691275e-06,149,1,14900000,1e-05
4183,TAMIL NADU,CHENNAI,2006,4.090267983074753e-06,5.7827926657263755e-06,70,1,7090000,9.873060648801128e-06
5680,TAMIL NADU,CHENNAI,2008,4.936530324400564e-06,4.513399153737659e-06,67,1,7090000,9.449929478138223e-06
5069,WEST BENGAL,KOLKATA,2007,2.953020134228188e-06,5.906040268456376e-06,132,1,14900000,8.859060402684564e-06
5825,WEST BENGAL,KOLKATA,2008,2.348993288590604e-06,6.174496644295302e-06,127,1,14900000,8.523489932885907e-06
7371,WEST BENGAL,KOLKATA,2010,2.1476510067114096e-06,6.1073825503355705e-06,123,1,14900000,8.25503355704698e-06
2854,WEST BENGAL,KOLKATA,2004,1.8120805369127516e-06,6.375838926174496e-06,122,1,14900000,8.187919463087248e-06
2125,WEST BENGAL,KOLKATA,2003,2.4161073825503354e-06,5.704697986577181e-06,121,1,14900000,8.120805369127516e-06
6145,KARNATAKA,BANGALORE COMMR.,2009,7.71055753262159e-06,2.372479240806643e-07,67,1,8430000,7.947805456702255e-06
4326,WEST BENGAL,KOLKATA,2006,2.550335570469799e-06,5.100671140939598e-06,114,1,14900000,7.651006711409396e-06
370,MAHARASHTRA,MUMBAI,2001,6.9021739130434785e-06,6.521739130434783e-07,139,1,18400000,7.554347826086957e-06
3157,KARNATAKA,BANGALORE COMMR.,2005,4.507710557532621e-06,2.9655990510083035e-06,63,1,8430000,7.473309608540926e-06
3891,KARNATAKA,BANGALORE COMMR.,2006,3.9145907473309605e-06,3.4400948991696325e-06,62,1,8430000,7.354685646500593e-06
1396,WEST BENGAL,KOLKATA,2002,2.214765100671141e-06,4.966442953020134e-06,107,1,14900000,7.181208053691275e-06
2710,TAMIL NADU,CHENNAI,2004,4.231311706629055e-06,2.8208744710860367e-06,50,1,7090000,7.052186177715092e-06
5380,KARNATAKA,BANGALORE COMMR.,2008,6.405693950177936e-06,2.372479240806643e-07,56,1,8430000,6.6429418742586005e-06
1253,TAMIL NADU,CHENNAI,2002,3.667136812411848e-06,2.9619181946403384e-06,47,1,7090000,6.629055007052186e-06
679,WEST BENGAL,KOLKATA,2001,1.2751677852348994e-06,5.2348993288590606e-06,97,1,14900000,6.510067114093959e-06
1982,TAMIL NADU,CHENNAI,2003,5.359661495063469e-06,0.0,38,1,7090000,5.359661495063469e-06
1695,KARNATAKA,BANGALORE COMMR.,2003,4.033214709371293e-06,1.3048635824436536e-06,45,1,8430000,5.338078291814946e-06
3587,WEST BENGAL,KOLKATA,2005,8.724832214765101e-07,4.429530201342282e-06,79,1,14900000,5.302013422818792e-06
537,TAMIL NADU,CHENNAI,2001,3.949224259520451e-06,0.0,28,1,7090000,3.949224259520451e-06
