,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
2763,UTTAR PRADESH,BALRAMPUR,2004,5,5,3,8,13,8,0
2764,UTTAR PRADESH,BANDA,2004,21,8,27,37,8,17,0
2765,UTTAR PRADESH,BARABANKI,2004,25,37,25,27,12,48,0
2766,UTTAR PRADESH,BAREILLY,2004,41,84,44,76,73,201,3
2767,UTTAR PRADESH,BASTI,2004,7,21,17,12,28,21,0
2768,UTTAR PRADESH,BIJNOR,2004,25,29,21,23,47,132,0
2769,UTTAR PRADESH,BULANDSHAHAR,2004,40,69,36,51,114,106,0
2770,UTTAR PRADESH,CHANDOLI,2004,5,3,10,2,12,18,0
2771,UTTAR PRADESH,CHITRAKOOT DHAM,2004,10,4,8,9,2,5,0
2772,UTTAR PRADESH,DEORIA,2004,12,23,16,10,13,31,0
2773,UTTAR PRADESH,ETAH,2004,26,26,47,44,7,61,0
2774,UTTAR PRADESH,ETAWAH,2004,9,25,13,15,10,46,0
2775,UTTAR PRADESH,FAIZABAD,2004,12,17,14,18,25,24,0
2776,UTTAR PRADESH,FATEHGARH,2004,10,27,21,13,14,35,0
2777,UTTAR PRADESH,FATEHPUR,2004,10,16,23,19,19,17,0
2778,UTTAR PRADESH,FIROZABAD,2004,10,37,48,33,33,89,0
2779,UTTAR PRADESH,G.R.P.,2004,2,2,0,15,38,0,0
2780,UTTAR PRADESH,GAUTAMBUDH NAGAR,2004,20,26,14,24,56,39,0
2781,UTTAR PRADESH,GHAZIABAD,2004,25,88,35,31,94,142,0
2782,UTTAR PRADESH,GHAZIPUR,2004,4,8,17,19,15,49,0
2783,UTTAR PRADESH,GONDA,2004,14,21,15,12,63,2,0
2784,UTTAR PRADESH,GORAKHPUR,2004,24,37,25,26,43,79,0
2785,UTTAR PRADESH,HAMIRPUR,2004,12,9,16,23,6,7,0
2786,UTTAR PRADESH,HARDOI,2004,37,50,44,68,76,64,0
2787,UTTAR PRADESH,HATHRAS,2004,16,26,24,39,21,134,0
2788,UTTAR PRADESH,J.P.NAGAR,2004,27,19,6,26,30,66,0
2789,UTTAR PRADESH,JALAUN,2004,7,13,28,17,22,20,0
2790,UTTAR PRADESH,JAUNPUR,2004,19,17,29,9,21,63,0
2791,UTTAR PRADESH,JHANSI,2004,16,29,25,21,36,53,0
2792,UTTAR PRADESH,KANNAUJ,2004,5,17,22,22,10,63,0
2793,UTTAR PRADESH,KANPUR DEHAT,2004,13,36,25,45,19,39,0
2794,UTTAR PRADESH,KANPUR NAGAR,2004,20,83,46,40,239,202,0
2795,UTTAR PRADESH,KAUSHAMBI,2004,14,8,19,9,9,43,0
2796,UTTAR PRADESH,KHIRI,2004,43,64,58,52,105,121,0
2797,UTTAR PRADESH,KUSHI NAGAR,2004,13,15,21,14,37,17,0
